x,y
411519.6327228739,3949793.45021276
411511.78989444807,3949796.348638658
411506.47676833597,3949798.267292386
411502.30616171425,3949799.8307379344
411498.80943121895,3949801.085216402
411493.27320007276,3949803.096493217
411485.7949267071,3949805.8355284254
411472.26131538575,3949810.679718697
411458.9351124643,3949816.075253444
411446.4467810931,3949817.566166537
411443.38152684737,3949822.234352389
411442.0788163203,3949823.487638808
411441.2393486958,3949825.1958395666
411440.8477738077,3949826.7172329435
411441.14233615104,3949828.0337405405
411441.66711064515,3949829.6367905545
411442.20228150114,3949831.6331729833
411443.68938198395,3949836.4514084794
411445.6239080037,3949841.310862922
411446.3593885586,3949842.9942785595
411447.37491054874,3949845.999833068
411448.5629441854,3949849.903444408
411448.95967216673,3949852.386601553
411446.6366402443,3949858.9398776568
411444.6596254104,3949860.7739814785
411443.4550396601,3949861.8026132835
411441.9242904372,3949863.331660094
411440.84154041816,3949864.5512211355
411439.6425202495,3949866.4874433232
411439.43283684005,3949868.0031235986
411439.6634161265,3949869.200985972
411439.2413176375,3949872.953638965
411437.3667675613,3949875.8722984456
411435.4337500547,3949877.305642877
411432.8054226769,3949878.739479341
411430.83989703143,3949879.6513045668
411425.78070414223,3949881.7901076647
411420.96502151457,3949883.735071928
411417.25166927,3949885.092465326
411414.221413195,3949885.996736681
411410.5399856025,3949886.991525656
411406.79567379283,3949887.16259768
411405.38082588156,3949886.3116876213
411404.43158172304,3949885.0038787927
411403.5532219258,3949882.541339206
411402.2452636947,3949878.879661773
411399.75744410645,3949872.643285533
411397.4358854279,3949867.121672786
411396.42657344235,3949864.136172499
411393.87852140097,3949859.022022949
411391.28179187153,3949852.3413236635
411390.10848921066,3949848.5657371394
411390.427397792,3949845.285817757
411391.5536875847,3949843.159301662
411394.8580716769,3949840.8924544277
411398.29589964065,3949839.593996034
411402.94595796056,3949837.793759309
411405.80337789207,3949836.6128634857
411409.94481561927,3949835.189644719
411424.5317679033,3949829.121860372
411438.41485957126,3949823.798141232
411446.3567404125,3949820.7240239247
411462.25745583075,3949814.749395795
411472.41125399293,3949810.765089349
411481.91672842327,3949807.079551279
411494.3338274232,3949802.316186879
411501.92407360196,3949799.628242692
411511.93087654765,3949795.975429099
411515.6130456292,3949794.644453669
