x,y
411520.5352850674,3949789.2288685082
411522.9058252913,3949788.3203100236
411524.0005393927,3949787.8721720795
411525.8587593427,3949787.1587023027
411526.8953146279,3949786.8443632196
411527.941649077,3949786.453392279
411528.91817674553,3949786.0560623854
411529.9655101966,3949785.709160959
411530.72925043973,3949785.41164799
411531.9587202584,3949785.0601909375
411533.31964421354,3949784.566124758
411534.57999130175,3949784.0946956477
411535.5606080156,3949783.786729666
411536.8771347532,3949783.3322266284
